Category,ID,Sub-topic,DATA 1301,DATA 2301,DATA 3311,DATA 3401,DATA 3402,DATA 3421,DATA 3441,DATA 3442,DATA 3461,DATA 4380,DATA 4381,DATA 4382,ASDS 5301,ASDS 5302,ASDS 5303,ASDS 5304,ASDS 5305,ASDS 5306,ASDS 6301,ASDS 6303,ASDS 6304,ASDS 6305,ASDS 6306,DATA 5301 (PhD),DATA 5302 (PhD),DATA 5303 (PhD),DATA 6301 (PhD),DATA 6302 (PhD),DATA 6313 (PhD),DATA 5390 (PhD)
C1. Data science foundations and scientific reasoning,C1.1,what data science is,E,I,,I,I,D,,,,,,,,E,,,,,,,I,,,,,,,,,
C1. Data science foundations and scientific reasoning,C1.2,what data scientists do,E,,,I,,,,,,,,,,E,,,,,,,,,,,,,,,,
C1. Data science foundations and scientific reasoning,C1.3,data science applications,E,I,,I,I,I,,,,,,,,E,,,,,,D,I,,,,,,,,,
C1. Data science foundations and scientific reasoning,C1.4,data science skills and tools,E,I,,I,I,D,,,,,,,,E,,,,,,,,,,,,,,,,
C1. Data science foundations and scientific reasoning,C1.5,data acquisition and collection,D,I,,I,,I,D,,,I,,,I,D,,,D,D,,I,,,D,,,,,,,
C1. Data science foundations and scientific reasoning,C1.6,the basic workflow for scientific inference,I,,,,,,D,,,,D,,D,,,,,,,,,,,,,,,,,
C1. Data science foundations and scientific reasoning,C1.7,the three pillars of scientific inference,I,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,
C1. Data science foundations and scientific reasoning,C1.8,history of data science and computing,,,,D,,,,,,,,,,I,,,,,,,,,,,,,,,,
C1. Data science foundations and scientific reasoning,C1.9,problem definition and project scoping,D,,,I,,I,,,,,E,,,D,,,D,,,D,I,,E,,,,,,,D
C1. Data science foundations and scientific reasoning,C1.10,research design,D,,,I,,,D,,,I,E,,D,,,,I,,,D,,,D,,,,,,,D
C1. Data science foundations and scientific reasoning,C1.11,literature review and related work,,,,,,,,,,,D,,,,,,I,,,D,,,I,,,,,,,I
C1. Data science foundations and scientific reasoning,C1.12,research questions and hypotheses,D,,,I,,,D,,,I,E,,D,I,,,I,,,D,,,D,,,,,,,D
C1. Data science foundations and scientific reasoning,C1.13,stakeholder identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2. Computing environment and developer tools,C2.1,intro to computing,,,,D,D,,,,,,,,,,,,,,,,,,,,,,,,,
C2. Computing environment and developer tools,C2.2,"hardware, software, and operating systems",I,,,D,D,,,,,,,,,I,,,I,,,,,,,,,I,,,,
C2. Computing environment and developer tools,C2.3,storage and filesystems,I,,,D,D,,,,,,,,,I,,,,,,,,,,,,,,,,
C2. Computing environment and developer tools,C2.4,Linux/Unix commands,D,,,D,D,,,,,,,,,,,,,,,,,,,,,,,,,
C2. Computing environment and developer tools,C2.5,shell commands,D,,,D,D,,,,,,,,,,,,,,,,,,,,,,,,,
C2. Computing environment and developer tools,C2.6,version control,D,,,E,D,,,,,,I,,,,,,D,,,,,,,,,D,,,,
