Category,Topic,DATA 1301,DATA 2301,DATA 3311,DATA 3401,DATA 3402,DATA 3421,DATA 3441,DATA 3442,DATA 3461,DATA 4380,DATA 4381,DATA 4382,ASDS 5301,ASDS 5302,ASDS 5303,ASDS 5304,ASDS 5305,ASDS 5306,ASDS 6301,ASDS 6303,ASDS 6304,ASDS 6305,ASDS 6306,DATA 5301 (PhD),DATA 5302 (PhD),DATA 5303 (PhD),DATA 6301 (PhD),DATA 6302 (PhD),DATA 6313 (PhD),DATA 5390 (PhD)
1. Foundations & Scientific Reasoning,What data science is / applications / skills & tools,E,I,,I,I,D,,,,,,,,E,,,,,,D,I,,,,,,,,,
1. Foundations & Scientific Reasoning,Data acquisition & collection,D,I,,I,,I,D,,,I,,,I,D,,,D,D,,I,,,D,,,,,,,
1. Foundations & Scientific Reasoning,Scientific inference workflow / three pillars,I,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,
1. Foundations & Scientific Reasoning,Problem definition & project scoping,D,,,I,,I,,,,,E,,,D,,,D,,,D,I,,E,,,,,,,D
1. Foundations & Scientific Reasoning,Research design / questions / hypotheses,D,,,I,,,D,,,I,E,,D,I,,,I,,,D,,,D,,,,,,,D
1. Foundations & Scientific Reasoning,Literature review & related work,,,,,,,,,,,D,,,,,,I,,,D,,,I,,,,,,,I
1. Foundations & Scientific Reasoning,Stakeholder identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Computing Environment & Developer Tools,Hardware / OS / storage / filesystems,I,,,D,D,,,,,,,,,I,,,I,,,,,,,,,I,,,,
2. Computing Environment & Developer Tools,Linux / Unix shell commands,D,,,D,D,,,,,,,,,,,,,,,,,,,,,,,,,
2. Computing Environment & Developer Tools,Version control: Git / GitHub,D,,,E,D,,,,,,I,I,,,,,D,,,,,,,,,D,,,,
2. Computing Environment & Developer Tools,Jupyter / Google Colab,,,I,E,E,D,,,E,D,,I,,D,,,E,,,,,D,,,,,,,,
2. Computing Environment & Developer Tools,Reproducibility & code handoff,,,,I,,,,,,,,I,I,I,,,D,,D,,D,,,,,D,,,,
2. Computing Environment & Developer Tools,GPU / parallel computing & hardware acceleration,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,
3. Python Programming & Software Construction,"Variables, types, syntax, operators",,,,E,D,,,,,,,,,E,,,,,,,,,,,,,,,,
3. Python Programming & Software Construction,Conditionals & loops / control flow,,,,E,E,,,,,,,,,E,,,,,,,,,,,,,,,,
3. Python Programming & Software Construction,"Functions (args, recursion, scope)",,,,E,E,,,,,,,,,E,,,,,,,,,,,,,,,,
3. Python Programming & Software Construction,"Higher-order / functional programming (lambda, map/filter/reduce, comprehensions)",,,,D,E,,,,,,,,,D,,,,,,,,,,,,,,,,
